Temps;Nombre
2.758686;1
3.072538;0
4.070743;1
5.897979;2
8.550355;3
8.598164;4
10.407439;5
10.962176;6
11.100228;5
11.334044;6
14.154781;5
15.211863;6
17.112023;7
17.791704;8
20.453044;7
21.742957;8
22.158054;7
24.481181;6
26.364123;5
26.678882;4
26.778754;3
27.715692;4
28.289428;3
28.697537;4
29.058514;3
29.837681;4
33.944977;3
35.097340;4
38.176244;5
38.250126;4
38.299996;5
38.545469;4
40.646286;5
43.496614;4
44.145232;3
45.501001;4
45.864634;5
46.097064;4
47.906657;5
49.830361;4
52.156059;3
52.351787;2
53.692357;3
53.790232;2
53.828204;1
54.002407;2
55.551442;1
58.129646;2
58.276527;3
58.417138;4
63.266878;5
63.539787;6
70.598640;7
71.548584;8
72.781641;7
75.899029;6
78.561921;5
79.530363;4
82.905626;3
83.052880;4
84.276136;5
86.546385;6
87.613270;5
87.822228;4
90.017308;3
90.302362;2
92.871589;3
94.258457;2
96.868968;3
98.505329;4
100.607861;3
103.901654;2
104.032921;1
104.488220;0
105.936177;1
106.690706;0
106.857563;1
108.416128;0
115.503289;1
116.889867;0
118.141931;1
118.761904;0
120.292214;1
120.673027;2
120.912638;1
121.781124;2
123.078554;1
123.122426;2
123.309133;3
125.050634;4
126.720466;3
128.341788;2
129.060819;1
129.694441;2
130.348671;3
131.345786;2
132.555450;3
132.873219;2
133.033506;3
134.175651;2
138.360472;3
139.590808;2
139.685890;1
139.804653;2
143.104656;3
143.978814;2
146.084266;1
148.700693;0
151.167697;1
152.855151;2
152.963696;1
153.253647;2
158.849539;3
159.628053;4
160.445978;3
161.761550;2
162.907939;1
165.010598;0
167.453252;1
169.753906;0
171.725159;1
177.817380;2
178.276296;3
179.673018;2
