Temps;Nombre
1.184983;1
2.140251;0
3.471582;1
5.762782;0
7.098075;1
10.736643;2
13.311374;1
14.531397;0
20.438613;1
25.521760;0
26.843349;1
27.052363;0
33.853444;1
36.169806;0
36.797797;1
37.262009;0
37.347473;1
40.010514;0
49.176226;1
49.327762;0
54.281330;1
56.461966;2
61.155559;1
61.584423;2
62.772843;3
64.219370;2
67.562678;1
69.355334;2
72.313250;1
72.595084;0
75.892280;1
78.431330;0
82.836772;1
85.630829;0
86.462981;1
86.704978;0
91.547057;1
92.251668;2
92.498370;3
94.422452;4
94.552903;5
98.128756;4
99.292858;5
99.849796;6
106.038399;5
108.409321;4
110.822631;5
114.407710;4
116.103885;5
121.967780;4
123.731997;5
129.556373;4
131.231862;5
133.261659;4
135.137661;3
135.668893;2
136.916656;1
137.709660;2
144.918103;1
145.799032;0
146.980809;1
149.903148;0
154.321223;1
155.554943;0
156.313573;1
156.890340;2
158.761536;3
158.797075;2
159.959830;1
162.372665;0
169.516134;1
170.725884;2
172.558616;1
179.574492;2
179.769842;1
179.947889;0
